Student	ID	Homework Assignment #1 (2786783)	Lab #1 (2829219)	Homework Assignment #2 (2786789)	Lab #2 (2786809)	Homework Assignment #3 (2786785)	Lab #3 (2786810)	Homework Assignment #4 (2786784)	Lab #4 (2786811)	Homework Assignment #5 - Quick Answer Portion (2786786)	Homework Assignment #5 - Problem Portion (2786793)	Lab #5 (2856765)	Midterm 1 (2786796)	Homework Assignment #6 (2786791)	Lab #6 (2786812)	Homework Assignment #7 (2786790)	Lab #7 (2786813)	Homework Assignment #8 (2786787)	Midterm 2 (2786797)	Lab #8 (2870743)	Lab #9 - Beam Lab (2786814)	Lab #10 (2786815)	Final Exam (2786798)	Bonus Assignment #9 (2786795)
Points Possible		60	10	60	10	70	10	80	10	21	50	10	100	70	10	60	10	60	100	10	10	10	100	20
F4241	1000001	60	10	60	10	67.5	10	80	10	21	50	10	69	70	10	60	10	80	62	10	10	10	33.5	55
F4242	1000002	60	10	60	10	70	10	80	13	21	50	10	58.5	70	10	60	10	80	62	10	10	10	62.5	50
F4243	1000003	60	10	60	10	70	10	77.5	12	21	50	10	89	61	10	60	10	80	99.5	10	10	10	89	25
F4244	1000004	57	10	47	10	64	10	80	10	21	37.5	10	65.5	57	10	60	10	70	68.5	10	10	12	65	55
F4245	1000005	60	10	60	10	70	10	80	13	21	50	10	63.5	70	10	60	10	80	65	10	10	10	47	22
F4246	1000006	54	10	46	10	65	10	77.5	13	21	50	9.5	53.5	70	10	60	10	80	74	10	10	10	66	23.5
F4247	1000007	60	10	60	10	70	11.5	80	13	21	50	11.5	75	70	10	60	10	80	83	10	10	10	66	55
F4248	1000008	60	10	60	10	0	10	49	10		0	10	61	0	10	49	10	0	49	10	10	10		
F4249	1000009	60	10	60	10	70	10	80	13	21	40	12	78	66	10	55	10	60	88.5	10	12	10	94.5	15
F424A	1000010	60	10	60	10	70	10	80	13	21	50	9.5	87	70	10	60	10	80	94.25	10	10	10	87	31
F424B	1000011	60	10	60	10	70	10	80	13	21	50	10	41	70	10	60	10	80	74	10	9.5	10	58	32
F424C	1000012	60	10	60	10	70	12	80	12	21	50	11	53	70	9	60	8	80	95	10	10	10	76	55
